field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes
student_action,学生动作,学习目标与表达,R1,string,,填写学生要做的动作,排序证据链并判断问题类型,必须可观察
student_output,学生产出,学习目标与表达,R1,string,,填写学生要提交或形成什么,移动性异常证据链,对应评价产出
student_completion_criteria,学生完成标准,学习目标与表达,R1,string,,说明怎样算完成,至少引用两类数据并说明不能证明什么,学生端可显示
teacher_use,教师端使用方式,学习目标与表达,R2,string,,说明教师如何讲或观察,用于讲评学生是否把测量报告和切换命令混为一谈,教师端字段
self_study_support,自学支持方式,学习目标与表达,R2,string,,说明自学时给学生什么支架,提供术语解释和分步提示,不能写通用提示
resource_card_ids,资源卡片ID,资源与活动,R1,string,,填写关联资源卡片ID,P2T3-C05;P2T3-C06,资源未建时写候选ID
resource_type,资源类型,资源与活动,R1,enum,text_card;table;chart;image;annotated_image;redrawn_image;audio;video;interactive_animation;mini_game;worksheet;teacher_guide;assessment_item;simulation_case;report_template;rubric,可多选并用英文分号分隔,simulation_case;worksheet;interactive_animation,使用受控枚举
resource_status,资源状态,资源与活动,R2,enum,planned;draft;ready_for_review;approved;revision_required;disabled,标明资源当前状态,planned,不同于节点审核状态
media_handling_status,媒体处理状态,资源与活动,R2,enum,not_applicable;original_usable;annotate_required;redraw_required;replace_required;disabled,pending_media_review相关节点必须填写,redraw_required,非通用仿真截图通常需重绘或标注
interaction_candidate_type,互动转化类型,资源与活动,R2,enum,none;animation;drag_drop;sorting;matching;marking;simulation;mini_game;adaptive_feedback,填写后续可转化互动形态,sorting;marking,不是所有节点都必须互动
learning_activity_type,学习活动类型,资源与活动,R1,enum,case_intro;data_reading;process_ordering;metric_annotation;evidence_classification;comparison_analysis;problem_diagnosis;proposal_matching;risk_checking;conclusion_writing;correction_revision;report_output;reflection_summary,可多选并用英文分号分隔,problem_diagnosis;conclusion_writing,减少无目的问答
learning_activity_description,学习活动说明,资源与活动,R1,string,,写清学生如何完成活动,根据四条日志记录排序并判断掉话原因,必须服务教材正文
assessment_output,评价产出,评价与学习记录,R1,string,,填写可检查产出,移动性异常证据链,与student_output保持一致或更后台化
assessment_method,评价方式,评价与学习记录,R1,enum,auto_check;teacher_review;peer_review;self_check;expert_review;mixed,填写评价方式,mixed,专业结论不宜只自动判分
rubric_id,评价量规ID,评价与学习记录,R2,string,,填写量规ID或pending,P2T3-RUB02,复杂产出必须有量规
rubric_level,量规级别,评价与学习记录,R2,enum,checklist;rubric_3_level;expert_review,填写量规复杂度,rubric_3_level,与assessment_method配套
mastery_criteria,掌握标准,评价与学习记录,R1,string,,写达成标准,能说明现象、依据、原因和复测要求,不能只写完成任务
common_errors,常见错误,评价与学习记录,R2,string,,列出常见误区,只看RSRP就判断全部达标,用于反馈和教师讲评
feedback_strategy,反馈策略,评价与学习记录,R2,string,,写反馈和二次修正方式,提示补充移动性数据并重写结论边界,服务闭环学习
learning_event_id,学习事件ID,评价与学习记录,R2,string,,填写事件ID,EVT-submit-report-01,平台化前可先设计
learning_event_type,学习事件类型,评价与学习记录,R2,enum,view_resource;start_activity;submit_answer;revise_answer;submit_worksheet;submit_report;pass_check;need_remediation;teacher_review,填写事件类型,submit_report,后续接数据回收
event_trigger,事件触发条件,评价与学习记录,R3,string,,说明何时记录事件,学生点击提交分析报告,平台化前可预留
remediation_rule,补救学习规则,评价与学习记录,R2,string,,说明未达成后回到哪里,若缺少依据则回到P2T3-N03和P2T3-N05,支撑二次学习路径
audit_status,审核状态,审核与风险,R1,enum,draft_ai_generated;source_extracted;teaching_transformed;pending_professional_review;pending_media_review;pending_editorial_review;review_passed;revision_required;disabled;deprecated,必须使用受控枚举,pending_professional_review,替代自然语言审核状态
review_required_type,需审核类型,审核与风险,R1,enum,none;professional;media;editorial;copyright;platform;data_security,可多选并用英文分号分隔,professional;media,明确门禁
review_owner_role,审核责任角色,审核与风险,R2,enum,course_teacher;professional_expert;editor;media_designer;publisher_platform;project_owner,填写责任角色,professional_expert,不是具体个人也要写角色
review_notes,审核备注,审核与风险,R2,string,,说明审核风险,邻区漏配案例需专业教师确认,不写空泛表述
risk_level,风险等级,审核与风险,R2,enum,low;medium;high,填写风险等级,medium,涉及专业结论通常不低于medium
platform_visibility,平台可见范围,版本与治理,R3,enum,student;teacher;editor;publisher;hidden,说明字段或节点前端可见性,student;teacher,学生端不显示审核字段
package_binding,资源包绑定,版本与治理,R3,string,,填写未来资源包路径或清单ID,pending,出版封装前补齐
version_status,版本状态,版本与治理,R1,enum,current;baseline;historical;deprecated,标注当前版本地位,current,避免旧版本误用
change_log,变更说明,版本与治理,R2,string,,记录本次变化,按V0.1字段规范新增学习事件字段,节点变化必须可追溯
created_at,创建日期,版本与治理,R2,date,,填写YYYY-MM-DD,2026-06-23,当前可手填
updated_at,更新日期,版本与治理,R2,date,,填写YYYY-MM-DD,2026-06-23,每次改动更新
