field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes
node_function_type,节点功能类型,层级与结构,R1,enum,orientation;data_preparation;data_reading;metric_interpretation;problem_diagnosis;proposal_design;implementation_record;result_verification;evidence_selection;conclusion_writing;expression_revision;continuous_improvement;remediation_routing;complex_review;resource_activity;assessment;not_applicable,按节点主要教学功能填写，可多选并用英文分号分隔,data_reading;metric_interpretation,用于跨任务横向统计和批量治理
cross_task_role,跨任务角色,层级与结构,R1,enum,core_task;prerequisite_task;supporting_task;deep_sample;extension_task;remediation_entry;next_task_entry;review_gate;resource_binding;not_applicable,说明该节点在跨任务链路中的角色，可多选,prerequisite_task;supporting_task,用于区分前置、深样章、延展和补救入口
source_type,来源类型,标准与来源,R1,enum,original_textbook;course_standard;professional_standard;vocational_skill_standard;digital_textbook_standard;policy_document;trusted_web_source;ai_inference;teaching_simulation;expert_review,可多选并用英文分号分隔,original_textbook;professional_standard,AI生成必须显式标注
source_ref_id,来源引用ID,标准与来源,R2,string,,引用本地文件或资料编号,textbook:P2-T3,可对应资料库
standard_binding_status,标准条款绑定状态,标准与来源,R1,enum,not_applicable;summary_only;pending_clause;clause_mapped;clause_verified,说明标准依据绑定成熟度,pending_clause,summary_only或pending_clause不能作为发布通过
standard_clause_id,标准条款ID,标准与来源,R2,string,,填写具体标准条款或暂填pending,pending,正式发布前应补齐
standard_clause_note,标准条款说明,标准与来源,R2,string,,说明条款绑定范围、缺口或待核事项,待绑定现代通信技术专业教学标准相关条款,V0.2新增
original_material_ref,原教材位置,标准与来源,R2,string,,填写原教材章节/行号/页码,P2-T3 lines 9294-9637,便于回溯
policy_basis_summary,政策或标准依据摘要,标准与来源,R2,string,,一句话说明依据,数字教材节点需关联资源活动评价,不要粘贴长篇原文
project_id,项目ID,教材任务映射,R1,string,,填写P1至P6,P2,basis和JP层可填not_applicable
project_title,项目名称,教材任务映射,R2,string,,填写教材项目名称,项目二：5G网络测试,建议与任务清单一致
task_id,任务ID,教材任务映射,R1,string,,填写任务ID,P2-T3,非任务层节点可填关联任务列表
task_title,任务名称,教材任务映射,R2,string,,填写教材任务名称,任务3 5G网络测试数据分析,保持任务清单口径
related_task_ids,关联任务ID,教材任务映射,R1,string,,可多值并用英文分号分隔,P2-T3;P4-T2,体现跨任务关系
capability_goal,后台能力目标,学习目标与表达,R1,string,,用可评价的能力目标表述,能根据测量报告和切换命令判断邻区或切换问题,避免抽象口号
student_title,学生端标题,学习目标与表达,R1,string,,转译为学生能理解的标题,判断是不是切换或邻区出了问题,不得直接暴露后台字段
student_learning_goal,学生学习目标,学习目标与表达,R1,string,,说明学生本节点要学会什么,我能看懂哪些数据说明切换异常,面向学生
student_action,学生动作,学习目标与表达,R1,string,,填写学生要做的动作,排序证据链并判断问题类型,必须可观察
student_output,学生产出,学习目标与表达,R1,string,,填写学生要提交或形成什么,移动性异常证据链,对应评价产出
student_completion_criteria,学生完成标准,学习目标与表达,R1,string,,说明怎样算完成,至少引用两类数据并说明不能证明什么,学生端可显示
student_text_block_ids,学生正文段落ID,学习目标与表达,R2,string,,填写该节点对应的学生端教材正文段落ID,P4T2-TXT-03;P4T2-TXT-04,V0.2新增，用于正文与图谱稳定挂接
teacher_use,教师端使用方式,学习目标与表达,R2,string,,说明教师如何讲或观察,用于讲评学生是否把测量报告和切换命令混为一谈,教师端字段
teacher_support_asset_ids,教师支持材料ID,学习目标与表达,R2,string,,填写教师脚本、讲评材料、典型答案或课堂节奏资产ID,P4T2-TEA-02;P4T2-ANS-01,V0.2新增
self_study_support,自学支持方式,学习目标与表达,R2,string,,说明自学时给学生什么支架,提供术语解释和分步提示,不能写通用提示
resource_card_ids,资源卡片ID,资源与活动,R1,string,,填写关联资源卡片ID,P2T3-C05;P2T3-C06,资源未建时写候选ID
resource_type,资源类型,资源与活动,R1,enum,text_card;table;chart;image;annotated_image;redrawn_image;audio;video;interactive_animation;mini_game;worksheet;teacher_guide;assessment_item;simulation_case;report_template;rubric,可多选并用英文分号分隔,simulation_case;worksheet;interactive_animation,使用受控枚举
resource_status,资源状态,资源与活动,R2,enum,planned;draft;ready_for_review;approved;revision_required;disabled,标明资源当前状态,planned,不同于节点审核状态
media_handling_status,媒体处理状态,资源与活动,R2,enum,not_applicable;original_usable;annotate_required;redraw_required;replace_required;disabled,pending_media_review相关节点必须填写,redraw_required,非通用仿真截图通常需重绘或标注
media_asset_review_ids,媒体审查对象ID,资源与活动,R2,string,,填写需审查、标注、重绘或替换的媒体资产ID,MEDIA-P5T3-04;MEDIA-P5T3-05,V0.2新增
media_issue_summary,媒体问题摘要,资源与活动,R2,string,,说明媒体风险和处理方向,原仿真截图需重绘为教学化KPI对比图,V0.2新增
interaction_candidate_type,互动转化类型,资源与活动,R2,enum,none;animation;drag_drop;sorting;matching;marking;simulation;mini_game;adaptive_feedback,填写后续可转化互动形态,sorting;marking,不是所有节点都必须互动
learning_activity_type,学习活动类型,资源与活动,R1,enum,case_intro;data_reading;process_ordering;metric_annotation;evidence_classification;comparison_analysis;problem_diagnosis;proposal_matching;risk_checking;conclusion_writing;correction_revision;report_output;reflection_summary,可多选并用英文分号分隔,problem_diagnosis;conclusion_writing,减少无目的问答
learning_activity_description,学习活动说明,资源与活动,R1,string,,写清学生如何完成活动,根据四条日志记录排序并判断掉话原因,必须服务教材正文
assessment_output,评价产出,评价与学习记录,R1,string,,填写可检查产出,移动性异常证据链,与student_output保持一致或更后台化
assessment_method,评价方式,评价与学习记录,R1,enum,auto_check;teacher_review;peer_review;self_check;expert_review;mixed,填写评价方式,mixed,专业结论不宜只自动判分
rubric_id,评价量规ID,评价与学习记录,R2,string,,填写量规ID或pending,P2T3-RUB02,复杂产出必须有量规
rubric_level,量规级别,评价与学习记录,R2,enum,checklist;rubric_3_level;expert_review,填写量规复杂度,rubric_3_level,与assessment_method配套
mastery_criteria,掌握标准,评价与学习记录,R1,string,,写达成标准,能说明现象、依据、原因和复测要求,不能只写完成任务
common_errors,常见错误,评价与学习记录,R2,string,,列出常见误区,只看RSRP就判断全部达标,用于反馈和教师讲评
feedback_strategy,反馈策略,评价与学习记录,R2,string,,写反馈和二次修正方式,提示补充移动性数据并重写结论边界,服务闭环学习
learning_event_id,学习事件ID,评价与学习记录,R2,string,,填写事件ID,EVT-submit-report-01,平台化前可先设计
learning_event_type,学习事件类型,评价与学习记录,R2,enum,view_resource;start_activity;submit_answer;revise_answer;submit_worksheet;submit_report;pass_check;need_remediation;teacher_review,填写事件类型,submit_report,后续接数据回收
event_trigger,事件触发条件,评价与学习记录,R3,string,,说明何时记录事件,学生点击提交分析报告,平台化前可预留
event_payload_summary,事件载荷摘要,评价与学习记录,R3,string,,说明学习事件需记录的关键字段摘要,提交报告ID、节点ID、结论状态、修订次数,V0.2补齐V0.1说明中提到但字段清单缺失的内容
remediation_rule,补救学习规则,评价与学习记录,R2,string,,说明未达成后回到哪里,若缺少依据则回到P2T3-N03和P2T3-N05,支撑二次学习路径
audit_status,审核状态,审核与风险,R1,enum,draft_ai_generated;source_extracted;teaching_transformed;pending_professional_review;pending_media_review;pending_editorial_review;review_passed;revision_required;disabled;deprecated,必须使用受控枚举,pending_professional_review,替代自然语言审核状态
review_required_type,需审核类型,审核与风险,R1,enum,none;professional;media;editorial;copyright;platform;data_security,可多选并用英文分号分隔,professional;media,明确门禁
review_owner_role,审核责任角色,审核与风险,R2,enum,course_teacher;professional_expert;editor;media_designer;publisher_platform;project_owner,填写责任角色,professional_expert,不是具体个人也要写角色
review_notes,审核备注,审核与风险,R2,string,,说明审核风险,邻区漏配案例需专业教师确认,不写空泛表述
professional_risk_type,专业口径风险类型,审核与风险,R2,enum,none;threshold;case_logic;conclusion;terminology;procedure;data_source;simulation_validity;tool_screenshot;signal_analysis,填写专业风险类型，可多选,threshold;case_logic;conclusion,V0.2新增
risk_level,风险等级,审核与风险,R2,enum,low;medium;high,填写风险等级,medium,涉及专业结论通常不低于medium
platform_visibility,平台可见范围,版本与治理,R3,enum,student;teacher;editor;publisher;hidden,说明字段或节点前端可见性,student;teacher,学生端不显示审核字段
package_binding,资源包绑定,版本与治理,R3,string,,填写未来资源包路径或清单ID,pending,出版封装前补齐
version_status,版本状态,版本与治理,R1,enum,current;baseline;historical;deprecated,标注当前版本地位,current,避免旧版本误用
change_log,变更说明,版本与治理,R2,string,,记录本次变化,按V0.2字段规范拆分主次挂接字段,节点变化必须可追溯
created_at,创建日期,版本与治理,R2,date,,填写YYYY-MM-DD,2026-06-23,当前可手填
updated_at,更新日期,版本与治理,R2,date,,填写YYYY-MM-DD,2026-06-23,每次改动更新
