v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV0311-INC-P3T1-011,P3T1-N04,识别5G网管功能组件与管理对象,P3T1-N05,定位仿真实训系统中的典型任务入口,direct_progression,内部递进,识别5G网管功能组件与管理对象之后进入定位仿真实训系统中的典型任务入口。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,23,candidate
EV0311-INC-P3T1-012,P3T1-N05,定位仿真实训系统中的典型任务入口,P3T1-N06,建立功能入口与后续学习任务的映射,direct_progression,内部递进,定位仿真实训系统中的典型任务入口之后进入建立功能入口与后续学习任务的映射。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,24,candidate
EV0311-INC-P3T1-013,P3T1-N06,建立功能入口与后续学习任务的映射,P3T1-N07,判断账号权限、数据范围与学习边界,direct_progression,内部递进,建立功能入口与后续学习任务的映射之后进入判断账号权限、数据范围与学习边界。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,25,candidate
EV0311-INC-P3T1-014,P3T1-N04,识别5G网管功能组件与管理对象,P3T2-N01,明确监控任务与账号权限边界,prerequisite,前置基础,功能组件和管理对象支撑运行监控任务入口与账号权限边界。,P3-T1,P3-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,40,candidate
EV0311-INC-P3T1-015,P3T1-N05,定位仿真实训系统中的典型任务入口,P3T2-N02,筛选当前告警并判断优先级,supporting_judgement,支撑判断,告警入口定位支撑当前告警筛选。,P3-T1,P3-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,41,candidate
EV0311-INC-P3T1-016,P3T1-N05,定位仿真实训系统中的典型任务入口,P3T2-N04,创建或选择性能指标查询模板,supporting_judgement,支撑判断,性能指标查询入口定位支撑指标模板创建。,P3-T1,P3-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,42,candidate
EV0311-INC-P3T1-017,P3T1-N05,定位仿真实训系统中的典型任务入口,P3T3-N01,明确参数检查场景与检查对象,prerequisite,前置基础,参数检查前需要识别网管中的参数和配置入口。,P3-T1,P3-T3,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,43,candidate
EV0311-INC-P3T1-018,P3T1-N05,定位仿真实训系统中的典型任务入口,P3T4-N01,明确参数设置任务与变更依据,prerequisite,前置基础,参数设置前需要识别配置入口和变更权限。,P3-T1,P3-T4,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,44,candidate
EV0311-INC-P3T1-019,P3T1-N06,建立功能入口与后续学习任务的映射,P3T2-N06,结合日志形成监控结论与后续入口,direct_progression,后续递进,功能到任务映射支撑运行监控结论进入后续学习入口。,P3-T1,P3-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,45,candidate
EV0311-INC-P3T1-020,P3T1-N06,建立功能入口与后续学习任务的映射,P3T3-N06,形成参数异常清单与后续处理建议,direct_progression,后续递进,功能到任务映射支撑参数异常清单连接后续处理建议。,P3-T1,P3-T3,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,46,candidate
EV0311-INC-P3T1-021,P3T1-N06,建立功能入口与后续学习任务的映射,P3T4-N06,形成参数变更记录并衔接复测,direct_progression,后续递进,功能到任务映射支撑参数变更记录衔接复测。,P3-T1,P3-T4,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,47,candidate
EV0311-INC-P3T1-022,P3T1-N07,判断账号权限、数据范围与学习边界,P3T4-N04,完成教学仿真参数设置并记录证据,supporting_judgement,支撑判断,权限与学习边界支撑教学仿真参数设置，不等同真实授权。,P3-T1,P3-T4,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,48,candidate
EV0311-INC-P3T1-023,P3T1-N07,判断账号权限、数据范围与学习边界,P3T4-N05,核查设置结果、风险与回退条件,supporting_judgement,支撑判断,权限边界支撑设置结果、风险和回退条件核查。,P3-T1,P3-T4,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,49,candidate
EV0311-INC-P3T1-024,P3T1-N05,定位仿真实训系统中的典型任务入口,P1-T1,任务1：室内环境信息采集,task_mapping,任务入口映射,数据采集入口可连接室内环境信息采集，但本轮不展开P1-T1。,P3-T1,P1-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,50,candidate
EV0311-INC-P3T1-025,P3T1-N05,定位仿真实训系统中的典型任务入口,P1-T2,任务2：室外环境信息采集,task_mapping,任务入口映射,数据采集入口可连接室外环境信息采集，但本轮不展开P1-T2。,P3-T1,P1-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,51,candidate
EV0311-INC-P3T1-026,P3T1-N05,定位仿真实训系统中的典型任务入口,P2-T1,任务1：DT/CQT测试准备和执行,task_mapping,任务入口映射,网络测试入口可连接DT/CQT测试准备和执行，但本轮不重复拆P2-T1。,P3-T1,P2-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,52,candidate
EV0311-INC-P3T1-027,P3T1-N05,定位仿真实训系统中的典型任务入口,P6-T1,任务1：5G关键信令流程及解析,task_mapping,任务入口映射,信令分析入口可连接关键信令流程识读。,P3-T1,P6-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,53,candidate
EV0311-INC-P3T1-028,P3T1-N06,建立功能入口与后续学习任务的映射,P5-T1,任务1：5G全网性能指标采集,task_mapping,任务入口映射,全网性能入口可连接全网性能指标采集。,P3-T1,P5-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,54,candidate
EV0311-INC-P3T1-029,P3T1-N06,建立功能入口与后续学习任务的映射,P5-T2,任务2：5G全网性能提升实施,task_mapping,任务入口映射,全网性能入口可连接全网性能提升实施。,P3-T1,P5-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,55,candidate
EV0311-INC-P3T1-030,P3T1-N06,建立功能入口与后续学习任务的映射,P5-T3,任务3：5G全网性能提升验证,task_mapping,任务入口映射,全网性能入口可连接全网性能提升验证。,P3-T1,P5-T3,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,56,candidate
EV0311-INC-P3T1-031,P3T1-N06,建立功能入口与后续学习任务的映射,P6-T2,任务2：5G信令问题分析及优化,task_mapping,任务入口映射,问题分析入口可连接信令问题分析及优化。,P3-T1,P6-T2,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,57,candidate
EV0311-INC-P3T1-032,P3T1-N01,明确5G网管在网络优化中的作用,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,明确5G网管在网络优化中的作用主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,71,candidate
EV0311-INC-P3T1-033,P3T1-N02,识别5G网管架构层次与部署组成,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,识别5G网管架构层次与部署组成主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,72,candidate
EV0311-INC-P3T1-034,P3T1-N03,区分5G网管软硬件组成与部署边界,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,区分5G网管软硬件组成与部署边界主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,73,candidate
EV0311-INC-P3T1-035,P3T1-N04,识别5G网管功能组件与管理对象,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,识别5G网管功能组件与管理对象主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,74,candidate
EV0311-INC-P3T1-036,P3T1-N05,定位仿真实训系统中的典型任务入口,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,定位仿真实训系统中的典型任务入口主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,75,candidate
EV0311-INC-P3T1-037,P3T1-N06,建立功能入口与后续学习任务的映射,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,建立功能入口与后续学习任务的映射主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,76,candidate
EV0311-INC-P3T1-038,P3T1-N07,判断账号权限、数据范围与学习边界,AU-04,网管、监控与参数信息管理,ability_mapping,能力挂接,判断账号权限、数据范围与学习边界主挂AU-04，用于项目三网管、监控与参数信息管理能力统计。,P3-T1,,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,77,candidate
EV0311-INC-P3T1-039,P3T1-R01,P3T1-R01,P3T1-N02,识别5G网管架构层次与部署组成,resource_evidence,资源证据,5G网管架构图需重绘为教学化架构层次图。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,90,candidate
EV0311-INC-P3T1-040,P3T1-R03,P3T1-R03,P3T1-N04,识别5G网管功能组件与管理对象,resource_evidence,资源证据,功能组件图需重绘为功能组件用途表。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,91,candidate
EV0311-INC-P3T1-041,P3T1-R04,P3T1-R04,P3T1-N05,定位仿真实训系统中的典型任务入口,resource_evidence,资源证据,仿真实训系统界面需重绘为入口定位图。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,92,candidate
EV0311-INC-P3T1-042,P3T1-W06,P3T1-W06,P3T1-N06,建立功能入口与后续学习任务的映射,resource_evidence,资源证据,功能到任务映射表支撑后续图谱导航。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,93,candidate
EV0311-INC-P3T1-043,P3T1-W07,P3T1-W07,P3T1-N07,判断账号权限、数据范围与学习边界,resource_evidence,资源证据,网管使用边界说明单支撑权限和数据范围判断。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,待专业复核,94,candidate
