"node_id","node_name","node_layer","basis","job_process","related_tasks","capability_goal","resource_types","learning_activities","assessment_output","audit_status","notes"
"P4T2-N03","读覆盖指标","详细能力节点","AU-07","JP-06","P4-T2","能用覆盖指标解释验证结果","覆盖指标表;路径图","验证流程排序;读表标注","覆盖指标判断","样章已实现;待专业复核","覆盖不能替代移动性判断。"
"P4T2-N04","读移动性指标","详细能力节点","AU-07","JP-06","P4-T2","能用切换、重建和掉线数据判断移动性","移动性日志;流程卡","移动性流程排序","移动性验证流程","样章已实现;待专业复核","适合转化为动画或流程小游戏。"
"P4T2-N05","读体验与容量指标","详细能力节点","AU-07","JP-06","P4-T2","能比较平均值、95分位和容量负荷","体验指标表;容量边界卡","指标行标注","通过依据和边界指标","样章已实现;待专业复核","强调尾部体验和高峰容量。"
"P4T2-N06","选择判断依据","详细能力节点","AU-07","JP-06","P4-T2","能分辨通过依据、边界和背景信息","依据分类卡;案例材料","依据分类","依据链分类结果","样章已实现;待专业复核","半扶手练习节点。"
"P4T2-N07","形成验收结论","详细能力节点","AU-07;AU-08","JP-06","P4-T2;P4-T3","能按判断、依据、边界、建议组织结论","结论拼装卡;学习单","结论拼装与提交","四段式验收结论","样章已实现;待专业复核","连接报告输出。"
"P4T2-N08","修正职业表达","详细能力节点","AU-08","JP-06","P4-T2;P4-T3;P5-T3","能修正过度判断、依据不足和边界缺失","错误结论诊断卡;修改示范卡","结论修改与自评","修正后的职业表达","样章已实现;待专业复核","连接持续性能提升。"
"P2T3-N01","明确分析任务与数据来源","详细能力节点","AU-03","JP-03","P2-T3","能判断本次要分析什么测试LOG、对应什么场景和业务问题","测试任务单;LOG清单;场景说明","信息核对;分析对象确认","数据分析任务单","试拆完成;待专业复核","P2-T3迁移试拆节点。"
"P2T3-N02","完成LOG导入与报告导出","详细能力节点","AU-03","JP-03","P2-T3","能按流程导入测试数据，并确认报告输出字段","导入导出流程卡;报告字段清单;软件截图重绘位","流程排序;报告字段核对","导入导出流程记录","试拆完成;软件截图待治理","保留软件操作价值，但不裸用非通用仿真截图。"
"P2T3-N03","识读关键指标与判断边界","详细能力节点","AU-03","JP-03","P2-T3;P4-T2","能解释PCI、SS-RSRP、SS-SINR、NR-RSSI、SS-RSRQ、吞吐量、CQI、MCS能说明什么和不能说明什么","指标读法卡;指标关系图;边界说明卡","指标匹配;边界标注","指标读法与边界表","试拆完成;阈值待专业复核","直接支撑P4-T2读覆盖、移动性、体验指标。"
"P2T3-N04","判断覆盖类异常","详细能力节点","AU-03","JP-03","P2-T3","能根据覆盖指标、采样点和场景判断弱覆盖、越区覆盖或覆盖不均衡风险","覆盖指标表;弱覆盖分析卡;采样点示意图","采样点标注;覆盖异常判断","覆盖异常判断记录","试拆完成;案例数据待复核","把原教材弱覆盖分析思路转成可检查学习动作。"
"P2T3-N05","判断移动性/邻区异常","详细能力节点","AU-03;AU-05","JP-03;JP-04","P2-T3;P4-T2","能根据测量报告、目标小区、切换命令和掉话现象判断邻区或切换问题","邻区漏配案例卡;测量报告日志;切换命令记录;配置检查表","证据链排序;异常定位","移动性异常证据链","试拆完成;案例需专业复核","将经典案例转化为移动性问题归因训练。"
"P2T3-N06","归纳问题类型与原因链","详细能力节点","AU-05","JP-04","P2-T3;P4-T1","能把测试现象归入覆盖、干扰、切换、容量、体验等问题类型，并说明可能原因","问题类型卡;原因链模板;异常清单","问题归类;原因链补全","异常问题清单","试拆完成;待专业复核","连接从数据识读到问题定位的关键节点。"
"P2T3-N07","制定整改建议","详细能力节点","AU-05","JP-04","P2-T3;P4-T1","能根据问题原因匹配工程、参数、邻区、功率或复测建议","整改建议卡;方案匹配表;风险提示卡","整改动作匹配;风险判断","整改建议卡","试拆完成;待专业复核","训练学生提出可执行建议。"
"P2T3-N08","输出分析报告并连接复测","详细能力节点","AU-03;AU-08","JP-03;JP-06","P2-T3;P4-T2;P4-T3","能把问题、依据、原因、建议和复测要求整理成测试数据分析报告","分析报告模板;复测对比表;职业表达量规","报告结构组织;复测要求填写","测试数据分析报告","试拆完成;待专业复核","连接P4-T2验收结论和P4-T3报告输出。"
"P5T3-N01","确认性能提升方案与验证口径","详细能力节点","AU-09","JP-07","P5-T3","能说明本次全网性能提升要验证的对象、范围、对比基线和达成口径。","文本卡、工作单、表格","阅读性能提升方案摘要，填写验证目标、范围、基线和达成口径。","性能提升验证任务单","试拆完成；待专业复核；无媒体处理项；中风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N02","选择验证数据源与复测路径","详细能力节点","AU-09","JP-07","P5-T3","能根据验证目标选择网管平台、大数据平台、路测复测或用户回访等验证路径。","文本卡、图表、工作单","将不同验证目标拖入网管、大数据、路测、用户回访等数据源类别。","验证数据源选择表","试拆完成；待媒体审查；媒体需重绘；中风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N03","建立优化前后KPI对比基线","详细能力节点","AU-09","JP-07","P5-T3","能提取优化前后关键KPI，并形成可比较的表格或图表。","表格、图表、工作单","在优化前后KPI表中标注改善、未改善和仍需复测的指标。","优化前后KPI对比表","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N04","验证接入与保持类提升效果","详细能力节点","AU-09","JP-07","P5-T3","能用接入、A2重配、PDU会话、掉线、脱网等材料判断接入类和保持类提升效果。","教学模拟案例、标注图、重绘图、工作单","对接入类和保持类案例进行依据标注，判断优化后是否闭环。","接入/保持类效果判断记录","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N05","验证移动性、资源与可用类提升效果","详细能力节点","AU-09","JP-07","P5-T3","能判断乒乓切换、低速率、光链路故障等移动性、资源和可用类问题是否改善。","教学模拟案例、表格、图表、重绘图、工作单","把复测数据与原问题描述对照，判断三类问题是否已经闭环。","移动性/资源/可用类效果判断记录","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N06","判断未闭环指标与二次分析入口","详细能力节点","AU-09","JP-07","P5-T3","能识别仍未达标、证据不足或需要复杂复盘的问题，并决定下一步分析入口。","工作单、文本卡、评价量规","将不同验证结果归入闭环状态，并选择二次分析或复盘入口。","未闭环问题清单","试拆完成；待专业复核；无媒体处理项；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P5T3-N07","输出全网性能提升验证报告","详细能力节点","AU-09","JP-07","P5-T3","能把验证目标、数据来源、前后对比、五类效果判断、未闭环问题和后续建议整理为验证报告。","报告模板、工作单、评价量规、教师指南","学生按报告模板整合前面六个节点产出，形成完整验证报告。","全网性能提升验证报告","试拆完成；待专业复核；无媒体处理项；中风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N01","明确信令问题分析任务与数据来源","详细能力节点","AU-10","JP-07","P6-T2","能根据问题现象和可用log明确本次信令分析对象、材料来源和待验证问题。","文本卡、工作单、教学模拟案例","根据任务现象和可用材料，先界定要分析的问题和证据来源。","问题分析任务单","试拆完成；待媒体审查；媒体需标注；中风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N02","区分覆盖、接入、切换、掉线类问题","详细能力节点","AU-10","JP-07","P6-T2","能根据问题现象、指标和信令材料区分覆盖、接入、切换、掉线类问题。","重绘图、工作单、表格","将现象和证据卡片匹配到覆盖、接入、切换、掉线四类问题。","问题类型判断表","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N03","建立接入类问题排查链","详细能力节点","AU-10","JP-07","P6-T2","能按随机接入、RRC连接、NG连接、切片、PRACH和干扰等线索建立接入类问题排查链。","重绘图、工作单、教学模拟案例","把接入类问题排查步骤排序，并为每一步匹配可查看的信令或参数。","接入问题排查路径","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N04","建立切换类问题信令证据链","详细能力节点","AU-10","JP-07","P6-T2","能围绕测量控制、测量报告、切换命令、随机接入和切换完成建立切换类问题证据链。","标注图、重绘图、工作单","在切换流程和案例材料中标注卡点、证据和可能原因。","切换问题证据链","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N05","建立掉线类问题复盘链","详细能力节点","AU-10","JP-07","P6-T2","能根据前台信令表现复盘弱覆盖、异常释放、切换失败、重配失败等掉线原因。","文本卡、工作单、评价量规","根据掉线表现复盘可能原因，并标出证据和不确定项。","掉线原因复盘单","试拆完成；待专业复核；无媒体处理项；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N06","提出优化建议并说明适用边界","详细能力节点","AU-10","JP-07","P6-T2","能把信令分析原因映射到RF优化、参数调整、邻区优化、干扰处理或工程整改建议，并说明适用边界。","教学模拟案例、重绘图、工作单、表格","把问题原因匹配到优化建议，并判断建议的适用边界和复测要求。","优化建议卡","试拆完成；待媒体审查；媒体需重绘；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
"P6T2-N07","输出信令问题分析与复盘报告","详细能力节点","AU-10","JP-07","P6-T2","能形成包含现象、证据、原因、建议、复测方式和待复核点的信令问题分析与复盘报告。","报告模板、工作单、评价量规、教师指南","按照模板输出信令问题分析报告，并标注待复核边界。","信令问题分析报告","试拆完成；待专业复核；无媒体处理项；高风险","来自V0.2字段表，进入V2图谱样本；仍属内部试拆，非专业定稿。"
