v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV0310-INC-P5T2-036,P5T2-N05,制定移动性指标提升方案,P5T3-N05,验证移动性、资源与可用类提升效果,supports,验证支撑,移动性提升方案为移动性效果验证提供措施依据。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-037,P5T2-N06,制定资源类与可用类指标提升方案,P5T3-N05,验证移动性、资源与可用类提升效果,supports,验证支撑,资源和可用类提升方案为资源与可用类效果验证提供措施依据。,P5-T2,P5-T3,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,待专业复核,2,candidate
EV0310-INC-P5T2-038,P5T2-N01,明确性能提升任务、输入数据和提升目标,AU-09,全网性能提升与复测,maps_to,能力挂接,明确性能提升任务、输入数据和提升目标主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-039,P5T2-N02,使用8维5步法定位性能短板,AU-09,全网性能提升与复测,maps_to,能力挂接,使用8维5步法定位性能短板主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-040,P5T2-N03,制定接入类指标提升方案,AU-09,全网性能提升与复测,maps_to,能力挂接,制定接入类指标提升方案主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-041,P5T2-N04,制定保持类指标提升方案,AU-09,全网性能提升与复测,maps_to,能力挂接,制定保持类指标提升方案主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-042,P5T2-N05,制定移动性指标提升方案,AU-09,全网性能提升与复测,maps_to,能力挂接,制定移动性指标提升方案主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-043,P5T2-N06,制定资源类与可用类指标提升方案,AU-09,全网性能提升与复测,maps_to,能力挂接,制定资源类与可用类指标提升方案主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-044,P5T2-N07,形成实施方案、授权边界和回退要求,AU-09,全网性能提升与复测,maps_to,能力挂接,形成实施方案、授权边界和回退要求主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-045,P5T2-N08,在教学仿真环境执行参数调整并记录证据,AU-09,全网性能提升与复测,maps_to,能力挂接,在教学仿真环境执行参数调整并记录证据主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-046,P5T2-N09,输出实施记录并交接P5-T3验证,AU-09,全网性能提升与复测,maps_to,能力挂接,输出实施记录并交接P5-T3验证主挂AU-09，用于全网性能提升与复测能力统计。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-047,P5T2-N08,在教学仿真环境执行参数调整并记录证据,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,教学仿真参数调整与AU-04参数信息管理存在观察性挂接，但不代表真实网管授权。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
EV0310-INC-P5T2-048,P5T2-N09,输出实施记录并交接P5-T3验证,AU-08,优化报告与职业表达,maps_to,能力挂接,实施记录、交接表达和复测说明与AU-08报告表达存在观察性挂接。,P5-T2,,v0310_increment,reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md;reports/P5-T2基于V0.3.10主数据补拆验证报告.md,内部试拆,3,candidate
