edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,evidence_source,review_status,display_priority
E012,P2T3-N05,判断移动性/邻区异常,P2T3-N03,识读关键指标与判断边界,requires,前置基础,移动性和邻区异常判断依赖指标与日志字段识读。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E013,P2T3-N05,判断移动性/邻区异常,P2T3-N06,归纳问题类型与原因链,precedes,直接递进,邻区或切换异常证据进入原因链归纳。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E014,P2T3-N05,判断移动性/邻区异常,P4T2-N04,读移动性指标,supports,支撑判断,复测时需要验证切换或邻区配置调整效果。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E015,P2T3-N06,归纳问题类型与原因链,P2T3-N04,判断覆盖类异常,requires,前置基础,覆盖异常证据是原因链输入之一。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E016,P2T3-N06,归纳问题类型与原因链,P2T3-N05,判断移动性/邻区异常,requires,前置基础,移动性或邻区异常证据是原因链输入之一。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E017,P2T3-N06,归纳问题类型与原因链,P2T3-N07,制定整改建议,precedes,直接递进,只有形成原因链后才能提出整改建议。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E018,P2T3-N06,归纳问题类型与原因链,P4T2-N06,选择判断依据,supports,支撑判断,复测解释需要回看原问题类型和原因链。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E019,P2T3-N07,制定整改建议,P2T3-N06,归纳问题类型与原因链,requires,前置基础,整改建议必须对应原因链。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E020,P2T3-N07,制定整改建议,P2T3-N08,输出分析报告并连接复测,precedes,直接递进,建议形成后才能进入报告表达。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E021,P2T3-N07,制定整改建议,P4-T1,任务 P4-T1 优化实施前置,supports,支撑判断,整改建议可连接后续方案制定或实施任务。,P2-T3,P4-T1,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E022,P2T3-N08,输出分析报告并连接复测,P2T3-N07,制定整改建议,requires,前置基础,报告结论必须包含整改建议和验证方式。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E023,P2T3-N08,输出分析报告并连接复测,P4T2-N07,形成验收结论,supports,支撑判断,复测报告需要引用原分析结论。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E024,P2T3-N08,输出分析报告并连接复测,P4T2-N08,修正职业表达,supports,支撑判断,结果解释需要回看原问题和建议。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E025,P2T3-N08,输出分析报告并连接复测,P4-T3,任务 P4-T3 优化报告输出,supports,支撑判断,综合优化输出需要复用分析报告表达。,P2-T3,P4-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E026,P4-T1,任务 P4-T1 优化实施前置,P4T2-N01,识别验证场景,precedes,直接递进,优化实施记录是结果验证的直接输入。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E027,P2T3-N08,输出分析报告并连接复测,P4T2-N01,识别验证场景,supports,支撑判断,测试数据分析报告帮助确定复测对象。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E028,P4T2-N01,识别验证场景,P4T2-N02,区分改善与达标,precedes,直接递进,先识别验证对象，再区分改善与达标。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E029,P4T2-N01,识别验证场景,P4T2-N03,读覆盖指标,precedes,直接递进,验证场景决定后续读取哪些指标。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E030,P4T2-N02,区分改善与达标,P4T2-N01,识别验证场景,requires,前置基础,必须先知道验证对象，才能判断改善是否等于达标。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E031,P4T2-N02,区分改善与达标,P4T2-N07,形成验收结论,supports,支撑判断,结论写作必须同时呈现已达标依据和未闭环边界。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,3
E032,P4T2-N02,区分改善与达标,P4T2-N08,修正职业表达,supports,支撑判断,职业表达修正重点处理过度判断。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,3
E033,P2T3-N03,识读关键指标与判断边界,P4T2-N03,读覆盖指标,supports,支撑判断,关键指标读法支撑覆盖结果验证。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E034,P4T2-N03,读覆盖指标,P4T2-N04,读移动性指标,precedes,直接递进,覆盖达标后仍需补看移动性。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E035,P4T2-N03,读覆盖指标,P4T2-N06,选择判断依据,precedes,直接递进,覆盖指标进入依据链分类。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E036,IMG-288,IMG-288 原教材媒体资源,P4T2-N03,读覆盖指标,evidenced_by,资源证据,覆盖优化结果截图需重绘或标注后才能作为教学证据。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E037,P2T3-N05,判断移动性/邻区异常,P4T2-N04,读移动性指标,supports,支撑判断,移动性异常证据链支撑切换结果验证。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E038,P4T2-N04,读移动性指标,P4T2-N03,读覆盖指标,requires,前置基础,覆盖达标后仍需补看移动路径验证。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E039,P4T2-N04,读移动性指标,P4T2-N06,选择判断依据,precedes,直接递进,移动性证据进入依据链分类。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E040,IMG-236,IMG-236 原教材媒体资源,P4T2-N04,读移动性指标,evidenced_by,资源证据,切换流程图需标注测量、判决、执行阶段。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E041,IMG-245,IMG-245 原教材媒体资源,P4T2-N04,读移动性指标,evidenced_by,资源证据,SA切换流程需重绘为教学版。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E042,IMG-289,IMG-289 原教材媒体资源,P4T2-N04,读移动性指标,evidenced_by,资源证据,切换优化结果截图需重绘或标注。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E043,P2T3-N03,识读关键指标与判断边界,P4T2-N05,读体验与容量指标,supports,支撑判断,指标读法支撑体验与容量结果验证。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E044,P4T2-N05,读体验与容量指标,P4T2-N06,选择判断依据,precedes,直接递进,体验与容量指标进入依据链分类。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E045,P4T2-N05,读体验与容量指标,P5-T3,任务 P5-T3 全网性能提升验证,supports,支撑判断,未闭环容量和尾部体验可进入全网性能提升验证。,P4-T2,P5-T3,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E046,IMG-290,IMG-290 原教材媒体资源,P4T2-N05,读体验与容量指标,evidenced_by,资源证据,时延结果截图需替换为时延指标对比表。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E047,IMG-291,IMG-291 原教材媒体资源,P4T2-N05,读体验与容量指标,evidenced_by,资源证据,速率结果截图需替换为速率指标对比表。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E048,IMG-292,IMG-292 原教材媒体资源,P4T2-N05,读体验与容量指标,evidenced_by,资源证据,容量结果截图需重绘容量负荷图。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E049,IMG-293,IMG-293 原教材媒体资源,P4T2-N05,读体验与容量指标,evidenced_by,资源证据,掉线结果截图需重绘掉线率证据链图。,,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待媒体审查,7
E050,P4T2-N06,选择判断依据,P4T2-N02,区分改善与达标,requires,前置基础,依据分类必须继承改善与达标边界。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E051,P4T2-N06,选择判断依据,P4T2-N03,读覆盖指标,requires,前置基础,覆盖数据是依据链输入之一。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E052,P4T2-N06,选择判断依据,P4T2-N04,读移动性指标,requires,前置基础,移动性数据是依据链输入之一。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E053,P4T2-N06,选择判断依据,P4T2-N05,读体验与容量指标,requires,前置基础,体验与容量数据是依据链输入之一。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E054,P2T3-N06,归纳问题类型与原因链,P4T2-N06,选择判断依据,supports,支撑判断,问题类型与原因链支撑证据分类。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E055,P4T2-N06,选择判断依据,P4T2-N07,形成验收结论,precedes,直接递进,整理依据链后才能形成验收结论。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E056,P4T2-N07,形成验收结论,P4T2-N06,选择判断依据,requires,前置基础,验收结论必须建立在依据链分类结果上。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E057,P2T3-N08,输出分析报告并连接复测,P4T2-N07,形成验收结论,supports,支撑判断,测试数据分析报告表达支撑验收结论写作。,P2-T3,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E058,P4T2-N07,形成验收结论,P4T2-N08,修正职业表达,precedes,直接递进,提交结论后进入职业表达修正。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,内部试拆,1
E059,P4T2-N07,形成验收结论,P4-T3,任务 P4-T3 优化报告输出,supports,支撑判断,四段式验收结论可进入优化报告输出任务。,P4-T2,P4-T3,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,3
E060,P4T2-N08,修正职业表达,P4T2-N07,形成验收结论,requires,前置基础,必须先有学生提交的验收结论，才能进入职业表达修正。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,2
E061,P4T2-N08,修正职业表达,P4T2-N07,形成验收结论,remediates,问题回流,针对过度判断、依据不足和边界缺失进行二次修订。,P4-T2,P4-T2,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,4
E062,P4T2-N08,修正职业表达,P4-T3,任务 P4-T3 优化报告输出,supports,支撑判断,修正后的职业表达可进入优化报告输出。,P4-T2,P4-T3,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,3
E063,P4T2-N08,修正职业表达,P5-T3,任务 P5-T3 全网性能提升验证,extends,问题回流,未闭环边界可转入全网性能提升验证。,P4-T2,P5-T3,textbook:P4-T2;prototype:task_workbench_3_5a1;capability_graph_v2:AU-07,待专业复核,4
E064,P5-T2,任务 P5-T2 性能提升实施,P5T3-N01,确认性能提升方案与验证口径,precedes,直接递进,性能提升方案实施后才能确认验证口径。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E065,P4T2-N07,形成验收结论,P5T3-N01,确认性能提升方案与验证口径,supports,支撑判断,验收结论提供持续提升入口。,P4-T2,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E066,P4T2-N08,修正职业表达,P5T3-N01,确认性能提升方案与验证口径,supports,支撑判断,职业表达修正经验支撑验证口径表达。,P4-T2,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E067,P5T3-N01,确认性能提升方案与验证口径,P5T3-N02,选择验证数据源与复测路径,precedes,直接递进,先确认验证对象、范围、基线和达成口径，再选择数据源。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E068,P5T3-N02,选择验证数据源与复测路径,P5T3-N01,确认性能提升方案与验证口径,requires,前置基础,数据源选择必须服从验证目标和范围。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E069,P2T3-N01,明确分析任务与数据来源,P5T3-N02,选择验证数据源与复测路径,supports,支撑判断,数据来源确认能力支撑复测路径选择。,P2-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E070,P5T3-N02,选择验证数据源与复测路径,P5T3-N03,建立优化前后KPI对比基线,precedes,直接递进,先确定网管、大数据、路测或回访来源，再建立KPI对比。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E071,IMG-325,IMG-325 原教材媒体资源,P5T3-N02,选择验证数据源与复测路径,evidenced_by,资源证据,性能验证数据源图需重绘为教学化选择图。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E072,P5T3-N03,建立优化前后KPI对比基线,P5T3-N02,选择验证数据源与复测路径,requires,前置基础,KPI对比基线必须基于已确认的数据源。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E073,P2T3-N03,识读关键指标与判断边界,P5T3-N03,建立优化前后KPI对比基线,supports,支撑判断,关键指标读法支撑优化前后KPI解释。,P2-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E074,P5T3-N03,建立优化前后KPI对比基线,P5T3-N04,验证接入与保持类提升效果,precedes,直接递进,接入与保持类效果判断依赖前后KPI基线。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E075,P5T3-N03,建立优化前后KPI对比基线,P5T3-N05,验证移动性、资源与可用类提升效果,precedes,直接递进,移动性、资源和可用类效果判断依赖前后KPI基线。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E076,IMG-326,IMG-326 原教材媒体资源,P5T3-N03,建立优化前后KPI对比基线,evidenced_by,资源证据,数据中心界面需重绘为教学化KPI对比表。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E077,P5T3-N04,验证接入与保持类提升效果,P5T3-N03,建立优化前后KPI对比基线,requires,前置基础,接入与保持类效果判断必须基于优化前后KPI。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E078,P2T3-N05,判断移动性/邻区异常,P5T3-N04,验证接入与保持类提升效果,supports,支撑判断,移动性/邻区异常证据链支撑接入和保持问题解释。,P2-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E079,P4T2-N04,读移动性指标,P5T3-N04,验证接入与保持类提升效果,supports,支撑判断,移动性验证经验支撑掉线和保持类复测。,P4-T2,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E080,P5T3-N04,验证接入与保持类提升效果,P5T3-N06,判断未闭环指标与二次分析入口,precedes,直接递进,接入与保持类未闭环问题进入二次分析入口。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E081,IMG-327,IMG-327 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,未下发A2重配截图需标注或重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E082,IMG-328,IMG-328 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,问题分析截图需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E083,IMG-329,IMG-329 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,A2重配正常截图需重绘对照。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E084,IMG-330,IMG-330 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,PDU会话未完全建立截图需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E085,IMG-331,IMG-331 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,网络配置图需版权和清晰度审核。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E086,IMG-332,IMG-332 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,配置截图需重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E087,IMG-333,IMG-333 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,优化过程截图需重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E088,IMG-334,IMG-334 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,PDU会话建立正常截图需重绘对照。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E089,IMG-335,IMG-335 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,弱覆盖导致掉线截图需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E090,IMG-336,IMG-336 原教材媒体资源,P5T3-N04,验证接入与保持类提升效果,evidenced_by,资源证据,掉线效果验证截图需重绘为复测对比图。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E091,P5T3-N05,验证移动性、资源与可用类提升效果,P5T3-N03,建立优化前后KPI对比基线,requires,前置基础,移动性、资源和可用类效果判断必须基于优化前后KPI。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E092,P4T2-N03,读覆盖指标,P5T3-N05,验证移动性、资源与可用类提升效果,supports,支撑判断,覆盖指标读法支撑资源类低速率验证。,P4-T2,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E093,P4T2-N05,读体验与容量指标,P5T3-N05,验证移动性、资源与可用类提升效果,supports,支撑判断,体验与容量指标读法支撑资源类和可用类验证。,P4-T2,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E094,P5T3-N05,验证移动性、资源与可用类提升效果,P5T3-N06,判断未闭环指标与二次分析入口,precedes,直接递进,移动性、资源和可用类未闭环问题进入二次分析入口。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E095,IMG-337,IMG-337 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,乒乓切换测试图示需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E096,IMG-338,IMG-338 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,乒乓切换效果验证图需重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E097,IMG-339,IMG-339 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,低速率问题截图需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E098,IMG-340,IMG-340 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,低速率复测图需重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E099,IMG-341,IMG-341 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,可用类问题路测图需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E100,IMG-342,IMG-342 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,光链路故障证据需标注。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E101,IMG-343,IMG-343 原教材媒体资源,P5T3-N05,验证移动性、资源与可用类提升效果,evidenced_by,资源证据,可用类复测图需重绘。,,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待媒体审查,7
E102,P5T3-N06,判断未闭环指标与二次分析入口,P5T3-N04,验证接入与保持类提升效果,requires,前置基础,接入与保持类验证结果是未闭环判断输入之一。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E103,P5T3-N06,判断未闭环指标与二次分析入口,P5T3-N05,验证移动性、资源与可用类提升效果,requires,前置基础,移动性、资源和可用类验证结果是未闭环判断输入之一。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E104,P2T3-N06,归纳问题类型与原因链,P5T3-N06,判断未闭环指标与二次分析入口,supports,支撑判断,问题类型与原因链支撑未闭环分类。,P2-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E105,P5T3-N06,判断未闭环指标与二次分析入口,P5T3-N07,输出全网性能提升验证报告,precedes,直接递进,未闭环清单进入验证报告。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,内部试拆,1
E106,P5T3-N06,判断未闭环指标与二次分析入口,AU-10,AU-10 信令分析与复杂问题复盘,extends,问题回流,需复杂复盘的问题进入信令分析与复杂问题复盘能力。,P5-T3,,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,1
E107,P5T3-N06,判断未闭环指标与二次分析入口,P6-T1,任务 P6-T1 关键信令流程及解析,extends,问题回流,后续可用P6任务验证复杂信令问题定位。,P5-T3,P6-T1,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,1
E108,P5T3-N07,输出全网性能提升验证报告,P5T3-N01,确认性能提升方案与验证口径,requires,前置基础,报告必须包含验证目标和口径。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
E109,P5T3-N07,输出全网性能提升验证报告,P5T3-N02,选择验证数据源与复测路径,requires,前置基础,报告必须说明数据来源。,P5-T3,P5-T3,textbook:P5-T3;task_inventory:P5-T3;capability_graph_v2:AU-09,待专业复核,2
