field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes,change_type,applies_to
data_security_review_scope,数据安全审核范围,数据安全,R2,string,personal_info;recording;location;work_order;customer_feedback;service_commitment;none,说明数据安全审核重点，可多选,personal_info;recording,用于替代只写data_security的粗粒度备注,add,node;binding;asset
data_security_gate_status,数据安全门禁状态,门禁状态,R1,enum,not_required;pending;revision_required;passed;blocked,记录数据安全门禁是否通过,pending,未通过时不得进入正式资源包或学生端,add,node;binding;asset
service_commitment_risk_type,服务承诺风险类型,服务表达,R1,enum,none;time_limit;effect_promise;responsibility;compensation;escalation;uncertain_conclusion;other,标记是否存在处理时限、效果承诺或责任表达风险,effect_promise;uncertain_conclusion,P1-T3反馈话术和处理结果资源必须填写,add,node;binding;resource
customer_communication_review_type,客户沟通审核类型,服务表达,R1,enum,none;tone;commitment;privacy;liability;escalation;uncertain_conclusion,标记客户沟通表达需要审核的类型,commitment;privacy,用于区分编辑复核和专业复核重点,add,node;binding;resource
communication_expression_status,反馈表达状态,服务表达,R2,enum,draft;needs_editorial_review;needs_professional_review;reviewed;disabled;not_applicable,记录反馈表达或话术材料的处理状态,needs_editorial_review,未经复核的表达不能作为学生可直接套用话术,add,node;binding;resource
external_statement_allowed,是否允许作为对外话术,服务表达,R1,enum,yes;no;teaching_only;pending,判断内容是否可作为对外沟通话术,teaching_only,教学讨论内容默认不等于可对外使用,add,binding;resource;student_text
service_wording_review_note,服务表达审核备注,服务表达,R2,string,,说明服务表达审核关注点,需避免越权承诺并说明后续跟踪边界,仅记录关键边界，不替代编辑复核,add,binding;resource
case_authenticity_type,案例真实性类型,案例与来源治理,R1,enum,real_desensitized;teaching_simulation;ai_created;source_adapted;unknown;not_applicable,标记案例来源真实性,teaching_simulation,防止教学模拟案例被误当真实案例,add,node;binding;resource
case_applicability_boundary,案例适用边界,案例与来源治理,R1,string,,说明案例适用范围和不能外推的边界,仅用于训练投诉信息整理不作为真实处理规则,案例进入学生端前必须写清边界,add,node;binding;resource
source_sensitivity_level,来源敏感等级,案例与来源治理,R2,enum,low;medium;high;not_applicable,判断来源是否敏感,high,涉及真实客户或内部系统信息通常为high,add,node;binding;asset
source_transformation_type,来源转化类型,案例与来源治理,R2,enum,direct_extract;adapted;ai_created;teaching_simulation;redrawn;anonymized;not_applicable,说明资源从来源到教学材料的转化方式,adapted;anonymized,用于区分原文抽取、AI创造、教学模拟和脱敏改写,add,node;binding;asset
publishability_status,可发布状态,案例与来源治理,R1,enum,not_ready;internal_review;ready_after_redaction;ready_after_expert_review;approved;disabled,判断当前是否具备发布条件,not_ready,未通过门禁不得标为approved,add,node;binding;asset
resource_review_object_type,资源审查对象类型,资源与活动,R2,enum,none;image;screenshot;text;table;audio;video;form;work_order;service_script;case;worksheet;report_template,标记资源需要审查的对象类型,service_script;form,V0.4把文本、表单、话术纳入类似媒体审查的对象治理,add,binding;resource
resource_provenance_type,资源来源类型,资源与活动,R2,enum,original_textbook;ai_generated;ai_rewritten;expert_created;teaching_simulation;web_source;professional_standard;student_generated;not_applicable,标记资源来源类型,ai_rewritten;teaching_simulation,用于判断是否需专家复核和编辑复核,add,binding;resource
assessment_sensitivity_type,评价产出敏感类型,评价与学习记录,R2,enum,none;personal_info;professional_conclusion;service_commitment;customer_feedback;student_submission;recording;work_order,标记评价产出是否包含敏感内容,customer_feedback;service_commitment,敏感评价产出不得直接进入公开样例,add,node;binding;assessment
assessment_release_allowed,评价产出是否允许发布,评价与学习记录,R2,enum,yes;no;after_redaction;after_review;not_applicable,判断评价产出是否可发布,after_review,学生提交和真实工单类产出需谨慎发布,add,binding;assessment
professional_gate_status,专业复核门禁状态,门禁状态,R1,enum,not_required;pending;revision_required;passed;blocked,记录专业复核门禁,pending,专业结论、阈值、案例逻辑相关节点必须填写,add,node;binding
editorial_gate_status,编辑复核门禁状态,门禁状态,R1,enum,not_required;pending;revision_required;passed;blocked,记录编辑复核门禁,pending,学生正文、话术、页面文案相关对象必须填写,add,node;binding;student_text
media_gate_status,媒体门禁状态,门禁状态,R1,enum,not_required;pending;revision_required;passed;blocked,记录媒体审查门禁,pending,图片、截图、视频、音频相关对象必须填写,add,node;binding;asset
student_text_gate_status,学生正文门禁状态,门禁状态,R1,enum,not_started;draft;review_pending;revision_required;passed;not_applicable,记录学生正文是否形成和通过评审,draft,主数据节点不等于学生正文已经可用,add,node;student_text
platform_gate_status,平台接口门禁状态,门禁状态,R2,enum,not_started;pending;revision_required;passed;blocked;not_applicable,记录平台接口或资源包封装状态,not_started,不应把本地原型误写成平台已接入,add,node;binding;asset
teaching_validation_gate_status,教学验证门禁状态,门禁状态,R2,enum,not_started;internal_review;teacher_trial_pending;student_trial_pending;revision_required;passed;not_applicable,记录真实教学验证状态,not_started,内部评审不能替代一线教师学生试看,add,node;sample;student_text
overall_publish_gate_status,综合发布门禁状态,门禁状态,R1,enum,not_ready;conditional;ready_for_internal_review;ready_for_external_review;approved;blocked,汇总专业、编辑、数据安全、媒体、正文和平台门禁,not_ready,可作为是否进入正式资源生产的阻断字段,add,node;binding;asset
gate_blocking_reason,门禁阻断原因,门禁状态,R2,string,,说明当前不能进入下一阶段的主要原因,缺少数据安全复核和学生正文,用于替代分散备注，便于评审,add,node;binding;asset
gate_next_action,下一步门禁动作,门禁状态,R2,string,,说明下一步应补什么或由谁复核,补充脱敏状态并提交编辑复核,用于形成治理任务清单,add,node;binding;asset
field_backfill_status,V0.4字段回填状态,版本与治理,R1,enum,not_started;partial;completed;needs_revision;not_applicable,记录该记录是否完成V0.4字段回填,partial,回填试验和批量迁移必须填写,add,node;edge;binding;asset
migration_batch_id,迁移批次ID,版本与治理,R2,string,,记录字段回填或迁移批次,V04-BATCH-P1T3-001,用于追踪小范围回填试验和批量迁移,add,node;edge;binding;asset
schema_change_reason,字段变更原因,版本与治理,R2,string,,说明为什么新增或修改字段,P1-T3暴露数据安全和服务承诺风险,用于治理审计和后续复盘,add,node;edge;binding;asset
