v03_record_id,node_id,node_name,node_layer,parent_node_id,project_id,project_title,task_id,task_title,primary_job_process_id,secondary_job_process_ids,primary_ability_unit_id,secondary_ability_unit_ids,source_type,source_ref_id,source_maturity,student_title,student_learning_goal,student_action,student_output,assessment_output,resource_card_ids,resource_type,learning_activity_type,node_status,audit_status,review_required_type,risk_level,media_handling_status,professional_risk_type,version_status,v03_maturity,source_files,notes
N-V03-0011,JP-06,验证效果与表达结论,job_process,B-01;B-03,not_applicable,,P4-T2;P4-T3,,JP-06,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,验证效果与表达结论,复测优化效果，形成判断、依据、边界和报告表达。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P4-T2;P4-T3
N-V03-0012,JP-07,持续提升与复杂复盘,job_process,B-01;B-02,not_applicable,,P5-T1;P5-T2;P5-T3;P6-T1;P6-T2,,JP-07,,not_applicable,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md,job_process_baseline,持续提升与复杂复盘,对未闭环问题做性能提升、信令分析和复杂问题复盘。,作为项目任务组织的岗位过程，不单独作为学生任务。,not_applicable,not_applicable,,,,baseline,pending_professional_review,professional;editorial,medium,,,current,job_process_baseline,samples/course_capability_graph_v2_optimized/data.js,关联任务：P5-T1;P5-T2;P5-T3;P6-T1;P6-T2
N-V03-0013,AU-01,场景、站点与投诉信息采集,ability_unit,JP-01,not_applicable,,P1-T1;P1-T2;P1-T3,,JP-01,,AU-01,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,场景、站点与投诉信息采集,能采集并整理站点、环境、投诉和场景信息。,采集核验、投诉归类,采集清单、投诉映射,采集清单、投诉映射,pending,采集表、投诉单、场景图,采集核验、投诉归类,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0014,AU-02,测试准备与测试执行,ability_unit,JP-02,not_applicable,,P2-T1,,JP-02,,AU-02,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,测试准备与测试执行,能完成DT/CQT测试准备和执行。,测试准备核对、流程排序,测试执行记录,测试执行记录,pending,测试任务书、路线图、工具清单,测试准备核对、流程排序,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0015,AU-03,测试问题处理与数据分析,ability_unit,JP-03,not_applicable,,P2-T2;P2-T3,,JP-03,,AU-03,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,validated_by_trial_split,测试问题处理与数据分析,能处理测试问题并分析测试数据。,读表标注、问题归因,测试数据分析结论,测试数据分析结论,pending,测试指标表、问题日志、轨迹图,读表标注、问题归因,baseline,pending_professional_review,professional;editorial,medium,,,current,ability_unit_trial_validated,samples/course_capability_graph_v2_optimized/data.js,P2-T3已试拆；待专业复核
N-V03-0016,AU-04,网管、监控与参数信息管理,ability_unit,JP-03,not_applicable,,P3-T1;P3-T2;P3-T3;P3-T4,,JP-03,,AU-04,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,网管、监控与参数信息管理,能识别网管功能、监控运行状态并管理参数。,运行状态读表、参数检查,监控异常记录、参数异常清单,监控异常记录、参数异常清单,pending,网管结构图、监控表、参数表,运行状态读表、参数检查,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0017,AU-05,网络问题定位与方案制定,ability_unit,JP-04,not_applicable,,P2-T2;P3-T3;P4-T1,,JP-04,,AU-05,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,网络问题定位与方案制定,能从现象和数据定位问题并选择优化动作。,问题归因、动作匹配,优化方案草案,优化方案草案,pending,问题清单、方案卡、参数对比,问题归因、动作匹配,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0018,AU-06,优化实施与变更记录,ability_unit,JP-05,not_applicable,,P3-T4;P4-T1,,JP-05,,AU-06,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,优化实施与变更记录,能执行优化方案并保留变更记录。,步骤排序、风险确认,优化实施记录,优化实施记录,pending,操作流程、变更记录表,步骤排序、风险确认,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0019,AU-07,优化结果验证,ability_unit,JP-06,not_applicable,,P4-T2,,JP-06,,AU-07,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,validated_by_trial_split,优化结果验证,能判断优化是否达标，并说明依据和边界。,投诉归类、流程排序、指标标注、依据分类,验收结论,验收结论,pending,指标表、投诉线索卡、学习单、结论卡,投诉归类、流程排序、指标标注、依据分类,baseline,pending_professional_review,professional;editorial,medium,,,current,ability_unit_trial_validated,samples/course_capability_graph_v2_optimized/data.js,已深展开；待专业复核
N-V03-0020,AU-08,优化报告与职业表达,ability_unit,JP-06,not_applicable,,P4-T3,,JP-06,,AU-08,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,skeleton_from_input,优化报告与职业表达,能将验证结论整理为优化报告和可讲评表达。,报告结构组织、结论修订,优化报告输出样例,优化报告输出样例,pending,报告模板、结论示例、修改量规,报告结构组织、结论修订,draft,pending_professional_review,professional;editorial,low,,,current,ability_unit_skeleton,samples/course_capability_graph_v2_optimized/data.js,待细化
N-V03-0021,AU-09,全网性能提升与复测,ability_unit,JP-07,not_applicable,,P5-T1;P5-T2;P5-T3,,JP-07,,AU-09,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,validated_by_trial_split,全网性能提升与复测,能采集全网指标、实施性能提升并复测效果。,性能对比、方案选择、复测判断,性能提升验证结论,性能提升验证结论,pending,全网KPI、性能对比图、复测记录,性能对比、方案选择、复测判断,baseline,pending_professional_review,professional;editorial,medium,,,current,ability_unit_trial_validated,samples/course_capability_graph_v2_optimized/data.js,P5-T3已试拆；有条件成立；待专业复核和媒体审查
N-V03-0022,AU-10,信令分析与复杂问题复盘,ability_unit,JP-07,not_applicable,,P6-T1;P6-T2,,JP-07,,AU-10,,professional_standard;job_analysis;ai_inference,reports/课程能力图谱V2优化方案.md;reports/课程能力图谱V2节点与映射表.csv,validated_by_trial_split,信令分析与复杂问题复盘,能解析关键流程并定位复杂信令问题。,流程标注、异常定位、复盘表达,信令分析结论,信令分析结论,pending,信令流程图、异常日志、复盘单,流程标注、异常定位、复盘表达,baseline,pending_professional_review,professional;editorial,medium,,,current,ability_unit_trial_validated,samples/course_capability_graph_v2_optimized/data.js,P6-T2已试拆；有条件成立；待专业复核和媒体审查
N-V03-0023,CG-01,信息采集,course_mainline,COURSE-5G-NETOPT,P1,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,信息采集,收集投诉、环境、设备和测试前置信息。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-02
N-V03-0024,CG-02,网络测试,course_mainline,COURSE-5G-NETOPT,P2,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,网络测试,完成DT/CQT测试、问题处理和测试数据分析。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-03
N-V03-0025,CG-03,信息管理,course_mainline,COURSE-5G-NETOPT,P3,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,信息管理,整理网管、运行监控和参数信息。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-04
N-V03-0026,CG-04,优化实施,course_mainline,COURSE-5G-NETOPT,P4,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,优化实施,实施优化方案，是结果验证的直接前置环节。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-05
N-V03-0027,CG-05,结果验证,course_mainline,COURSE-5G-NETOPT,P4,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,结果验证,复核优化后是否达到目标，当前以P4-T2作为深样章。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,review_ready,pending_editorial_review,editorial;professional,medium,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-06
N-V03-0028,CG-06,性能提升,course_mainline,COURSE-5G-NETOPT,P5,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,性能提升,在验收基础上继续做全网性能提升。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=CG-07
N-V03-0029,CG-07,信令分析,course_mainline,COURSE-5G-NETOPT,P6,,not_applicable,,not_applicable,,not_applicable,,original_textbook;overall_prototype;ai_inference,samples/digital_textbook_overall_prototype/data.js,course_skeleton,信令分析,面向复杂问题进行信令级分析和优化。,按课程主链定位当前项目任务。,学习路径定位,not_applicable,,,,draft,pending_editorial_review,editorial;professional,low,,,current,course_mainline_skeleton,samples/digital_textbook_overall_prototype/data.js,next=none
N-V03-0030,P1,项目一：5G网络信息采集,project,CG-01,P1,项目一：5G网络信息采集,P1-T1;P1-T2;P1-T3,任务1：室内环境信息采集;任务2：室外环境信息采集;任务3：投诉信息采集,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/fullbook_structure.json;reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,项目一：5G网络信息采集,完成室内、室外和投诉信息采集，为后续测试和优化建立事实基础。,选择项目并进入任务链。,采集信息完整性记录;室外环境采集清单;投诉线索到验证对象的初步映射,采集信息完整性记录;室外环境采集清单;投诉线索到验证对象的初步映射,,,,draft,pending_editorial_review,editorial;professional,low,,,current,project_skeleton,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0031,P1-T1,任务1：室内环境信息采集,project_task,P1,P1,项目一：5G网络信息采集,P1-T1,任务1：室内环境信息采集,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务1：室内环境信息采集,室内信息核验,室内信息核验,采集信息完整性记录,采集信息完整性记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0032,P1-T2,任务2：室外环境信息采集,project_task,P1,P1,项目一：5G网络信息采集,P1-T2,任务2：室外环境信息采集,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务2：室外环境信息采集,室外场景信息整理,室外场景信息整理,室外环境采集清单,室外环境采集清单,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0033,P1-T3,任务3：投诉信息采集,project_task,P1,P1,项目一：5G网络信息采集,P1-T3,任务3：投诉信息采集,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务3：投诉信息采集,投诉线索分类,投诉线索分类,投诉线索到验证对象的初步映射,投诉线索到验证对象的初步映射,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0034,P2,项目二：5G网络测试,project,CG-02,P2,项目二：5G网络测试,P2-T1;P2-T2;P2-T3,任务1：DT/CQT测试准备和执行;任务2：5G网络测试问题处理;任务3：5G网络测试数据分析,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/fullbook_structure.json;reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,项目二：5G网络测试,完成DT/CQT测试、测试问题处理和测试数据分析，为优化提供可复核数据。,选择项目并进入任务链。,测试执行记录;问题处理记录和依据说明;测试数据分析结论,测试执行记录;问题处理记录和依据说明;测试数据分析结论,,,,draft,pending_editorial_review,editorial;professional,low,,,current,project_skeleton,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0035,P2-T1,任务1：DT/CQT测试准备和执行,project_task,P2,P2,项目二：5G网络测试,P2-T1,任务1：DT/CQT测试准备和执行,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务1：DT/CQT测试准备和执行,测试准备与执行流程排序,测试准备与执行流程排序,测试执行记录,测试执行记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0036,P2-T2,任务2：5G网络测试问题处理,project_task,P2,P2,项目二：5G网络测试,P2-T2,任务2：5G网络测试问题处理,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务2：5G网络测试问题处理,测试问题归因,测试问题归因,问题处理记录和依据说明,问题处理记录和依据说明,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0037,P2-T3,任务3：5G网络测试数据分析,project_task,P2,P2,项目二：5G网络测试,P2-T3,任务3：5G网络测试数据分析,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务3：5G网络测试数据分析,测试数据读表与判断,测试数据读表与判断,测试数据分析结论,测试数据分析结论,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0038,P3,项目三：5G网络信息管理,project,CG-03,P3,项目三：5G网络信息管理,P3-T1;P3-T2;P3-T3;P3-T4,任务1：5G网管架构和功能;任务2：5G网络运行监控;任务3：5G网络参数检查;任务4：5G网络参数设置,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/fullbook_structure.json;reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,项目三：5G网络信息管理,识别网管架构、监控运行状态、检查并设置参数，形成可管理的信息基础。,选择项目并进入任务链。,网管功能用途说明;监控异常识别记录;参数异常清单;参数设置记录,网管功能用途说明;监控异常识别记录;参数异常清单;参数设置记录,,,,draft,pending_editorial_review,editorial;professional,low,,,current,project_skeleton,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0039,P3-T1,任务1：5G网管架构和功能,project_task,P3,P3,项目三：5G网络信息管理,P3-T1,任务1：5G网管架构和功能,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务1：5G网管架构和功能,网管功能识别,网管功能识别,网管功能用途说明,网管功能用途说明,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0040,P3-T2,任务2：5G网络运行监控,project_task,P3,P3,项目三：5G网络信息管理,P3-T2,任务2：5G网络运行监控,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务2：5G网络运行监控,运行状态读表,运行状态读表,监控异常识别记录,监控异常识别记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0041,P3-T3,任务3：5G网络参数检查,project_task,P3,P3,项目三：5G网络信息管理,P3-T3,任务3：5G网络参数检查,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务3：5G网络参数检查,参数一致性检查,参数一致性检查,参数异常清单,参数异常清单,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0042,P3-T4,任务4：5G网络参数设置,project_task,P3,P3,项目三：5G网络信息管理,P3-T4,任务4：5G网络参数设置,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务4：5G网络参数设置,参数设置步骤确认,参数设置步骤确认,参数设置记录,参数设置记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0043,P4,项目四：5G端到端网络优化,project,CG-04/CG-05,P4,项目四：5G端到端网络优化,P4-T1;P4-T2;P4-T3,任务1：5G网络优化方案实施;任务2：5G网络优化结果验证;任务3：5G网络优化报告输出,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/fullbook_structure.json;reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,项目四：5G端到端网络优化,从优化方案实施进入结果验证，再输出优化报告，形成端到端闭环。,选择项目并进入任务链。,优化实施记录;包含判断、依据、边界和建议的验收结论;优化报告输出样例,优化实施记录;包含判断、依据、边界和建议的验收结论;优化报告输出样例,,,,baseline,pending_editorial_review,editorial;professional,medium,,,current,project_skeleton,samples/digital_textbook_overall_prototype/data.js,当前重点项目
N-V03-0044,P4-T1,任务1：5G网络优化方案实施,project_task,P4,P4,项目四：5G端到端网络优化,P4-T1,任务1：5G网络优化方案实施,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务1：5G网络优化方案实施,优化动作与问题匹配,优化动作与问题匹配,优化实施记录,优化实施记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0045,P4-T2,任务2：5G网络优化结果验证,project_task,P4,P4,项目四：5G端到端网络优化,P4-T2,任务2：5G网络优化结果验证,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,deep_sample_output,任务2：5G网络优化结果验证,投诉归类、流程排序、指标标注、依据分类、结论拼装,投诉归类、流程排序、指标标注、依据分类、结论拼装,包含判断、依据、边界和建议的验收结论,包含判断、依据、边界和建议的验收结论,,,,review_ready,teaching_transformed,professional;editorial,medium,,,current,task_deep_sample,samples/digital_textbook_overall_prototype/data.js,深样章已完成
N-V03-0046,P4-T3,任务3：5G网络优化报告输出,project_task,P4,P4,项目四：5G端到端网络优化,P4-T3,任务3：5G网络优化报告输出,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务3：5G网络优化报告输出,报告结构组织,报告结构组织,优化报告输出样例,优化报告输出样例,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0047,P5,项目五：5G全网性能提升,project,CG-06,P5,项目五：5G全网性能提升,P5-T1;P5-T2;P5-T3,任务1：5G全网性能指标采集;任务2：5G全网性能提升实施;任务3：5G全网性能提升验证,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/fullbook_structure.json;reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,项目五：5G全网性能提升,采集全网性能指标、实施性能提升并验证提升效果。,选择项目并进入任务链。,全网指标采集记录;性能提升实施记录;提升效果评价结论,全网指标采集记录;性能提升实施记录;提升效果评价结论,,,,draft,pending_editorial_review,editorial;professional,low,,,current,project_skeleton,samples/digital_textbook_overall_prototype/data.js,结构占位
N-V03-0048,P5-T1,任务1：5G全网性能指标采集,project_task,P5,P5,项目五：5G全网性能提升,P5-T1,任务1：5G全网性能指标采集,not_applicable,,not_applicable,,original_textbook;overall_prototype,reports/task_inventory.csv;samples/digital_textbook_overall_prototype/data.js,skeleton_from_input,任务1：5G全网性能指标采集,性能指标采集,性能指标采集,全网指标采集记录,全网指标采集记录,,,,draft,source_extracted,professional;editorial,low,,,current,task_skeleton_only,samples/digital_textbook_overall_prototype/data.js,结构占位
