binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV0312-INC-P1G-011,P1T1-N04,完成室内设备与配套信息采集记录,P1T1N04-W04,室内信息采集记录表,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,在教学模拟材料中完成室内信息采集记录。,室内信息采集记录表,室内信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-012,P1T1-N04,完成室内设备与配套信息采集记录,P1T1N04-ACT04,室内完成室内设备与配套信息采集记录学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,在教学模拟材料中完成室内信息采集记录。,室内信息采集记录表,室内信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-013,P1T1-N05,核查室内采集数据完整性与异常项,P1T1N05-C05,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,核查室内采集记录，标出缺项、冲突和异常项。,室内信息完整性核查单,室内信息完整性核查单,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-014,P1T1-N05,核查室内采集数据完整性与异常项,P1T1N05-W05,室内信息完整性核查单,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,核查室内采集记录，标出缺项、冲突和异常项。,室内信息完整性核查单,室内信息完整性核查单,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-015,P1T1-N05,核查室内采集数据完整性与异常项,P1T1N05-ACT05,室内核查室内采集数据完整性与异常项学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,核查室内采集记录，标出缺项、冲突和异常项。,室内信息完整性核查单,室内信息完整性核查单,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-016,P1T1-N06,输出室内信息采集成果并衔接后续任务,P1T1N06-C06,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,整理室内采集成果包，并连接后续学习任务。,室内采集成果包,室内采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-017,P1T1-N06,输出室内信息采集成果并衔接后续任务,P1T1N06-W06,室内采集成果包,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,整理室内采集成果包，并连接后续学习任务。,室内采集成果包,室内采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-018,P1T1-N06,输出室内信息采集成果并衔接后续任务,P1T1N06-ACT06,室内输出室内信息采集成果并衔接后续任务学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,整理室内采集成果包，并连接后续学习任务。,室内采集成果包,室内采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-019,P1T2-N01,明确室外信息采集任务与用途,P1T2N01-C01,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,阅读室外采集情境，说明室外信息的后续使用场景。,室外采集任务说明卡,室外采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-020,P1T2-N01,明确室外信息采集任务与用途,P1T2N01-W01,室外采集任务说明卡,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,阅读室外采集情境，说明室外信息的后续使用场景。,室外采集任务说明卡,室外采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-021,P1T2-N01,明确室外信息采集任务与用途,P1T2N01-ACT01,室外明确室外信息采集任务与用途学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,阅读室外采集情境，说明室外信息的后续使用场景。,室外采集任务说明卡,室外采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-022,P1T2-N02,识别室外采集对象和场景类别,P1T2N02-C02,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,对照室外采集材料，完成采集对象和场景类别分类。,室外采集字段分类表,室外采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-023,P1T2-N02,识别室外采集对象和场景类别,P1T2N02-W02,室外采集字段分类表,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,对照室外采集材料，完成采集对象和场景类别分类。,室外采集字段分类表,室外采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-024,P1T2-N02,识别室外采集对象和场景类别,P1T2N02-ACT02,室外识别室外采集对象和场景类别学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,对照室外采集材料，完成采集对象和场景类别分类。,室外采集字段分类表,室外采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-025,P1T2-N03,识别塔型、天馈和室外设备信息,P1T2N03-C03,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,识别塔型和天馈对象，完成室外设备信息标注。,塔型与天馈识别表,塔型与天馈识别表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-026,P1T2-N03,识别塔型、天馈和室外设备信息,P1T2N03-W03,塔型与天馈识别表,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,识别塔型和天馈对象，完成室外设备信息标注。,塔型与天馈识别表,塔型与天馈识别表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-027,P1T2-N03,识别塔型、天馈和室外设备信息,P1T2N03-ACT03,室外识别塔型、天馈和室外设备信息学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,识别塔型和天馈对象，完成室外设备信息标注。,塔型与天馈识别表,塔型与天馈识别表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-028,P1T2-N04,完成室外环境与覆盖信息采集记录,P1T2N04-C04,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,在教学模拟材料中完成室外信息采集记录。,室外信息采集记录表,室外信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-029,P1T2-N04,完成室外环境与覆盖信息采集记录,P1T2N04-W04,室外信息采集记录表,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,在教学模拟材料中完成室外信息采集记录。,室外信息采集记录表,室外信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-030,P1T2-N04,完成室外环境与覆盖信息采集记录,P1T2N04-ACT04,室外完成室外环境与覆盖信息采集记录学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,在教学模拟材料中完成室外信息采集记录。,室外信息采集记录表,室外信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-031,P1T2-N05,核查室外采集数据完整性与风险项,P1T2N05-C05,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,核查室外采集记录，标出缺项、冲突和风险项。,室外信息完整性核查单,室外信息完整性核查单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-032,P1T2-N05,核查室外采集数据完整性与风险项,P1T2N05-W05,室外信息完整性核查单,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,核查室外采集记录，标出缺项、冲突和风险项。,室外信息完整性核查单,室外信息完整性核查单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-033,P1T2-N05,核查室外采集数据完整性与风险项,P1T2N05-ACT05,室外核查室外采集数据完整性与风险项学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,核查室外采集记录，标出缺项、冲突和风险项。,室外信息完整性核查单,室外信息完整性核查单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-034,P1T2-N06,输出室外信息采集成果并衔接后续任务,P1T2N06-C06,室外采集任务情境卡,resource_card,P1,P1-T2,task_card,case_intro;task_definition,整理室外采集成果包，并连接后续学习任务。,室外采集成果包,室外采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-035,P1T2-N06,输出室外信息采集成果并衔接后续任务,P1T2N06-W06,室外采集成果包,worksheet,P1,P1-T2,worksheet,data_recording;quality_check,整理室外采集成果包，并连接后续学习任务。,室外采集成果包,室外采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-036,P1T2-N06,输出室外信息采集成果并衔接后续任务,P1T2N06-ACT06,室外输出室外信息采集成果并衔接后续任务学习活动,learning_activity,P1,P1-T2,interactive_table,classification;boundary_checking,整理室外采集成果包，并连接后续学习任务。,室外采集成果包,室外采集成果包,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
