task_id,task_title,phase2_role,node_id,node_name,student_title,student_learning_goal,student_action,student_output,assessment_output,resource_type,learning_activity_type,primary_ability_unit_id,secondary_ability_unit_ids,inbound_relation_count,outbound_relation_count,relation_types,binding_count,audit_status,risk_level,media_handling_status,professional_risk_type,content_status,prototype_target,source_files
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N05,读体验与容量指标,读体验与容量指标：平均好不等于尾部好,我能区分平均值达标和尾部体验、容量边界未闭环。,阅读实训楼和招聘会指标表，给每行标注通过依据或必须写边界。,通过依据和边界指标标注,指标行标注和边界表达,text_card;table;chart;worksheet;redrawn_image;assessment_item,data_reading;metric_annotation;comparison_analysis,AU-07,AU-03;AU-09,7,4,前置基础；支撑判断；直接递进；能力挂接；资源证据,10,pending_media_review,high,redraw_required,threshold;case_logic;conclusion;tool_screenshot,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N06,选择判断依据,把材料分清：依据、边界，还是背景,我能判断一条材料能不能直接证明优化后达到目标。,在体育馆活动保障案例中，把材料分入通过依据、必须写边界和背景信息。,依据链分类结果,依据链分类结果,simulation_case;table;worksheet;assessment_item;rubric,evidence_classification;comparison_analysis,AU-07,AU-05;AU-08,7,9,前置基础；前置支撑；支撑判断；直接递进；能力挂接；问题回流,4,pending_professional_review,medium,not_applicable,case_logic;conclusion,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N07,形成验收结论,写出一段能提交的验收结论,我能把技术判断写成判断、依据、边界和建议四部分。,在招聘会扩容案例中拼装并提交四段式验收结论。,四段式验收结论,四段式验收结论,worksheet;assessment_item;rubric;report_template,conclusion_writing;report_output,AU-07,AU-08,7,7,前置基础；前置支撑；支撑判断；直接递进；能力挂接；问题回流,4,pending_professional_review,medium,not_applicable,conclusion;terminology,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N08,修正职业表达,把结论改到能被讲评、能被使用,我能根据反馈修改验收结论，而不是只看参考答案。,对招聘会案例结论进行自评和二次修正，至少提交一条修正句。,修正后的职业表达,修正后的职业表达和修订记录,rubric;teacher_guide;worksheet;assessment_item,correction_revision;reflection_summary,AU-08,AU-07;AU-09,3,9,前置基础；前置支撑；支撑判断；直接递进；能力挂接；问题回流,5,pending_professional_review,medium,not_applicable,conclusion;terminology,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N01,明确报告对象与交付口径,先弄清报告要交给谁和说明什么,我能根据客户要求和任务情境确认报告类型、交付对象、交付口径和不能直接承诺的内容。,阅读任务要求并填写报告交付口径确认单。,报告交付口径确认单,报告交付口径确认单,task_card;worksheet;boundary_table,task_analysis;report_type_identification;boundary_checking,AU-08,AU-07,1,2,任务拆分详细节点；直接递进；能力挂接,3,pending_professional_review,medium,not_applicable,conclusion;customer_communication;publication_boundary,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;extracted/textbook.md
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N02,归集实施与验证证据,报告不能凭空写，要先把证据找齐,我能从实施记录、复测入口、验证结论和测试分析报告中选择能进入报告的证据，并说明证据能证明什么。,整理实施记录、验证结论和测试分析材料，填写报告证据链清单。,报告证据链清单,报告证据链清单,text_card;evidence_table;worksheet,evidence_classification;data_source_checking,AU-08,AU-06;AU-07;AU-03,6,5,任务拆分详细节点；前置支撑；直接递进；能力挂接；能力辅挂；问题回流,3,pending_professional_review,high,not_applicable,data_source;conclusion;authorization,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;extracted/textbook.md
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N03,选择报告结构并组织材料,选对结构，把材料排成别人能看懂的报告,我能区分KPI指标优化类、测试指标优化类和案例类报告组织方式，并根据任务情境排列材料。,根据任务情境选择报告结构，排列问题概述、证据、措施、结果和案例材料。,报告结构草稿,报告结构草稿,report_template;structure_card;worksheet,report_structure_selection;material_ordering,AU-08,AU-07,2,2,任务拆分详细节点；直接递进；能力挂接,3,pending_editorial_review,medium,not_applicable,template;publication_boundary;conclusion,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;extracted/textbook.md
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N04,对比指标并写出结论边界,看懂优化前后数据，再写能站得住的结论,我能根据优化前后指标对比说明改善、达标、劣化、未闭环和需二次分析的边界。,阅读覆盖方案对比表，改写过度结论，形成有依据和边界的指标结论段。,指标对比结论段,指标对比结论段,data_table;worksheet;rubric,comparison_analysis;conclusion_writing;boundary_checking,AU-08,AU-07;AU-03,5,4,任务拆分详细节点；前置支撑；直接递进；能力挂接；能力辅挂；问题回流,3,pending_professional_review,high,not_applicable,threshold;conclusion;data_source,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;extracted/textbook.md
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N05,编写典型案例分析段落,把一个典型问题讲清楚，而不是只贴图,我能把典型案例写成问题现象、原因判断、优化措施、效果证据和注意事项组成的分析段落。,基于越区覆盖案例补齐案例分析链条，并标出截图和站点信息的待审边界。,典型案例分析段,典型案例分析段,case_card;worksheet;screenshot;redrawn_image,case_analysis;evidence_classification;media_review,AU-08,AU-05;AU-06;AU-07,2,2,任务拆分详细节点；直接递进；能力挂接,4,pending_media_review,high,redraw_required,case_logic;data_security;tool_screenshot;conclusion,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;assets/media/image300.png;assets/media/image301.png
P4-T3,任务3：5G网络优化报告输出,表达出口：把实施记录、验证结论和证据链转为可讲评、可修订的优化报告。,P4T3-N06,修订报告表达并准备客户沟通,把报告改到能提交，也能说明还不能承诺什么,我能根据评价量规修订报告结论，并准备客户沟通要点和待确认问题。,对报告样稿进行二次修订，删除越权承诺，形成客户沟通提纲和待确认问题清单。,优化报告输出样稿与沟通提纲,优化报告输出样稿与沟通提纲,report_template;rubric;communication_script,correction_revision;customer_communication;reflection_summary,AU-08,AU-07,3,1,任务拆分详细节点；前置支撑；直接递进；能力挂接,3,pending_editorial_review,high,not_applicable,customer_communication;publication_boundary;conclusion,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T3基于V0.3.5主数据补拆验证报告.md;extracted/textbook.md
